Positive Masculine words,Vanilla pm,Bolu pm,Wino pm,Wino + Bolu pm,Negative Masculine words,Vanilla nm,Bolu nm,Wino nm,Wino + Bolu nm,Neutral Masculine words,Vanilla neutm,Bolu neutm,Wino neutm,Wino + Bolu neutm,Positive Feminine words,Vanilla pf,Bolu pf,Wino pf,Wino + Bolu pf,Negative Feminine words,Vanilla nf,Bolu nf,Wino nf,Wino + Bolu nf,Neutral Feminine words,Vanilla neutf,Bolu neutf,Wino neutf,Wino + Bolu neutf
pleased,0.02295443,4.692379478032915e-09,0.007346114,7.89562636105412e-09,unsung,0.024755545,4.3264850035917846e-11,0.0003567636,8.221393926755027e-09,inhibited,0.004342024,1.0716667005195024e-08,0.0038868785,1.063494029646117e-08,adorable,0.076959014,1.1239036035171068e-08,0.020261109,5.967240729320977e-09,frail,0.059155375,7.733111789809399e-10,0.02588005,2.1158549017886996e-08,favourite,0.0056730807,7.11944556780475e-09,0.00018272921,2.1603440564232912e-10
outstanding,0.09850476,7.119951691728988e-09,0.025832068,2.550212437057997e-09,ungrateful,0.039258126,7.508526953838024e-09,0.00728935,7.522771600099176e-09,territorial,0.00627812,8.837437712183593e-09,0.0076398626,1.2772718412448758e-08,devoted,0.058295466,4.208634690749946e-09,0.008971959,4.466916531109533e-09,tired,0.03443645,2.903316563291486e-09,0.009645004,2.3986908084805414e-09,french,NaN,NaN,NaN,NaN
calm,0.07836962,1.5330157976389813e-09,0.010213837,8.827924197207793e-09,inconsiderate,0.015680676,1.1557517533289374e-08,0.006066179,1.242674117774012e-08,temporal,0.038114227,4.989957821943669e-09,0.038212404,8.812887086762089e-10,buxom,0.034947716,9.263123375985449e-10,0.0345704,3.590293852148707e-09,dizzy,0.06502727,4.1789224858312934e-09,0.006050721,2.6448873508000403e-09,roman,NaN,NaN,NaN,NaN
considerate,0.040656008,3.951591942552568e-09,0.010587641,2.9314611814379443e-09,unpleasant,0.006997645,4.45703401963371e-09,0.0015371703,1.0299620177567359e-08,ottoman,0.011561744,6.365700772059668e-09,0.012854844,6.725169657273433e-09,passionate,0.09690109,1.5745134140932038e-08,0.023262396,4.092890221185641e-09,motherly,0.17702763,2.382231797243284e-09,0.037601642,1.976273126727936e-09,clipped,0.010265328,1.1670985677891821e-08,0.014207169,4.478633575111246e-09
ambitious,0.0069518164,8.722500902114128e-09,0.0031370614,3.6675130016261548e-09,nasty,0.049594738,4.326853375591355e-09,0.012717009,1.4017504379459922e-09,royal,0.100086406,6.775402260073005e-09,0.004695542,8.253029015400926e-09,graceful,0.0750316,2.739752591462974e-10,0.027859405,1.2648119510072497e-08,wrinkled,0.0034787282,7.432433779541725e-09,0.0011165664,4.4817524552653865e-09,lesbian,NaN,NaN,NaN,NaN
confident,0.00092585385,1.238975164130629e-08,0.010374561,7.92553919715111e-09,naughty,0.117396876,6.236901883838186e-09,0.017496333,1.4304947976162552e-08,economic,0.0055427775,6.889462486614484e-09,0.024957418,9.023355769174901e-09,peerless,0.06592331,6.127383392340313e-09,0.0024571642,2.4343457666331503e-09,damnable,0.017321222,1.5799453884079995e-08,0.037812214,4.420483173950274e-09,contemporary,0.017533101,9.895154612360457e-09,0.02087677,6.5587334868721925e-09
tolerant,0.011199474,6.1892694580567564e-09,0.0059932396,6.222468984518059e-09,contradictory,0.052530874,6.892833685767652e-09,0.008962656,3.106533422864155e-09,subsequent,0.021881431,1.9268181911114013e-09,0.03355551,1.4024443509286222e-08,rosy,0.12064576,9.055914067246373e-09,0.021671189,4.050837132743568e-09,other,0.018918842,6.826982895669076e-09,0.03163442,7.632258852696694e-09,tiny,0.07248949,1.8154519540458658e-08,0.01779541,1.7954845873968672e-09
heroic,0.016251646,6.402303409647203e-09,0.00691003,5.7691359814371346e-09,savage,0.12490843,4.6741792103510704e-09,0.04031658,4.880475024116038e-09,capetian,NaN,NaN,NaN,NaN,innocent,0.11796128,2.535684374277425e-09,0.029724773,2.7984731306579524e-08,unprotected,0.08581892,1.1570926897186418e-08,0.00870508,1.1090883073050506e-08,lovely,0.23058592,1.775305252804671e-08,0.06292345,7.868367943308918e-09
satisfactory,0.014098585,1.1447851000490061e-10,0.0049137026,4.5644560631163955e-09,unethical,NaN,NaN,NaN,NaN,special,0.021259984,2.5597663988463637e-09,0.0047301413,1.5840571128238057e-08,respectable,0.072979614,2.293539774766984e-09,0.02400218,7.15307030274559e-09,future,0.008602396,1.182701844792966e-08,0.008254692,1.3080176358704065e-08,paternal,0.03452696,1.0163037911237183e-09,0.017389104,3.098310483173883e-09
kind,0.010198902,8.750387726907949e-09,0.008035772,6.325343623880819e-09,arrogant,0.007423153,1.2462461826401317e-09,0.0231606,5.509872516573644e-09,native,0.031947594,1.664310514924716e-08,0.018781051,3.6194540038725354e-09,comfortable,0.04531582,1.9549901985466134e-08,0.018552259,7.77141326291364e-09,harried,0.019124731,9.96478904946585e-09,0.04108186,2.1690831825127432e-08,phoenician,NaN,NaN,NaN,NaN
chivalrous,0.023279093,1.2004233537754594e-08,0.0029838793,7.178728174406235e-09,lame,0.12565047,8.120544713226263e-09,0.001075983,1.0258735021195786e-08,electronic,0.05457242,2.316130842672237e-09,0.002101209,4.797644323484285e-09,virgin,0.07680452,1.3596701597951011e-08,0.050235763,4.290737375643727e-09,hapless,0.041736737,3.8923188283579435e-10,0.011575371,3.7246369738452856e-09,veiled,0.12602153,1.3189530651686043e-08,0.018475316,2.0333683348194853e-09
normal,0.018194899,1.0669129635321184e-08,0.0033006892,1.9106525042666966e-09,mistaken,0.014309681,1.2644400117223231e-08,0.0018434189,1.0985092148418918e-08,mathematical,0.022556104,8.348833138716039e-09,0.022838563,1.8017933797742636e-08,vivacious,0.056249943,5.550964875256081e-09,0.0017512103,6.434569202224023e-09,slovenly,0.05995083,5.338376716373938e-09,0.0030568913,2.946978258644428e-09,strident,0.05008634,1.0664367652846174e-08,0.011943102,3.398376455243657e-09
noble,0.043454207,6.892591549595428e-09,0.0019332282,5.523222476599976e-09,inconvenient,0.02002167,1.2927115919381116e-08,0.0014685984,5.489352344206777e-09,regional,NaN,NaN,NaN,NaN,harmonious,0.045544606,1.559584061200381e-08,0.004156679,6.215141179488626e-10,frivolous,0.043692477,1.2614549509126771e-08,0.024536373,1.0966341029705617e-08,elderly,0.06807064,7.596859918912457e-09,0.016207615,8.908377507887977e-10
fortunate,0.014337905,1.8102979948420028e-09,0.023986124,7.232963547543214e-09,rotten,0.061929442,1.5279772516696433e-09,0.016159015,5.512069127522334e-09,mechanical,0.02247186,3.824812550012879e-09,0.028598897,3.4161040662894493e-10,beloved,0.10341181,1.7484165103567872e-08,0.017124422,2.8546855122824066e-09,dread,0.023808375,2.128187792660441e-09,0.011842266,7.629247011919915e-09,pregnant,0.01776968,5.229081126434387e-10,0.0054224357,1.1338358862911235e-09
well,0.017342001,1.3096048079308531e-08,0.0015337914,8.904119941366417e-09,unfriendly,0.0025326386,1.0760076024629583e-09,0.007828306,9.258752042828888e-09,secular,0.020330794,9.378511287017055e-09,0.012980431,1.2922567210749136e-08,delicate,0.117948994,6.846837652396687e-09,0.047467485,2.016106140367846e-08,abused,0.0060158335,5.7538884074004315e-09,0.022461236,1.0806961436848894e-08,stately,0.030003518,9.259518249371546e-09,0.017518688,1.5174388801053595e-08
welcome,0.052377447,5.628101595878121e-10,0.0004738716,1.411432699882642e-09,outrageous,0.07657564,7.509428148755326e-10,0.017102353,2.0412767226529738e-08,electrical,0.037951164,1.926718923295212e-10,0.00797539,2.935288630212529e-09,favorite,0.016004575,8.457814344720038e-09,0.017517395,3.0444864025647167e-09,lesbian,NaN,NaN,NaN,NaN,haughty,0.048065186,4.086530808189437e-09,0.0002655238,2.1819837325853797e-09
prodigious,0.06555116,1.1979785427551626e-08,0.009395383,1.245458799287169e-08,ineffectual,0.0044008046,7.688954584139651e-09,0.0279908,3.467119542854835e-09,belted,0.03302388,6.47142996482164e-09,0.05404608,1.2887318399934511e-08,famous,0.0797787,2.5823715804618175e-09,0.030381506,3.1674725828323425e-09,pathetic,0.09782463,8.182178025395448e-09,0.027316496,1.4001865167312388e-08,korean,NaN,NaN,NaN,NaN
respectful,0.06366432,2.2517574846392385e-08,0.001417771,5.9917698511102735e-09,wrong,0.043186516,1.2979021468684238e-09,0.022458926,5.540062714137761e-10,naval,0.10352648,2.436828916430045e-08,0.029192999,1.2593654730164161e-08,golden,0.08596062,4.756624307974966e-09,0.03934242,3.595593704719402e-09,disdainful,0.045207225,1.2767360418886042e-08,0.008565601,5.509665640390793e-10,domestic,0.0034953672,1.61727729819372e-09,0.010338895,7.273860680445665e-11
courageous,0.02617497,8.075918656036407e-09,0.008337118,8.565893536149893e-09,dire,0.0018876716,6.78915865193197e-09,0.019479621,1.0374435192861409e-08,social,0.033672974,5.448630949200783e-09,0.015779808,1.1802575305974727e-08,topless,0.006115198,1.1409042030563477e-08,0.016013168,6.113670278362626e-09,consumptive,0.03443744,6.848553224525489e-09,0.009524086,8.109427257312063e-09,primiparous,NaN,NaN,NaN,NaN
prudent,0.055936925,4.410674808025261e-09,0.015792893,5.939848292369453e-09,sinful,0.076568946,1.1247403545740046e-08,0.004721336,4.0471172593758986e-10,roman,NaN,NaN,NaN,NaN,classy,0.02831028,9.051087833215898e-09,0.0032275147,7.429961975530253e-09,marriageable,0.14478646,2.038119652214565e-08,0.002523847,6.580944081346907e-09,plump,0.03959987,2.291709928770036e-08,0.009432087,7.030353452175397e-10
sincere,0.0638567,1.651902453020382e-08,0.02628471,6.56651637231942e-09,impersonal,0.043906935,1.1990221204793983e-08,0.0061509833,5.081811083051946e-10,priestly,0.07038425,1.1111894959725532e-08,0.04013223,2.263455346762644e-09,undercover,NaN,NaN,NaN,NaN,frigid,0.055935495,8.356294545208698e-09,0.013508894,1.4711889026464142e-08,plural,0.009748131,1.4679568671738252e-09,0.009291533,9.833940467496305e-10
resolute,0.009326581,1.8284299907467272e-08,0.016190872,8.151685992885405e-10,mock,0.019136265,4.718227697431132e-09,0.0020596758,1.4998389474829565e-09,petty,0.026268251,9.461871577909342e-09,0.010506049,3.1093059498638054e-09,glamorous,0.01444263,6.093769919224279e-09,0.024364173,1.5441896164536395e-09,silly,0.05054584,1.3303608659143151e-08,0.00026062317,5.234636481221688e-09,crowned,0.024160758,1.4432610578873906e-08,0.02579612,9.798436326202697e-09
serene,0.09236859,7.962969950092713e-09,0.020014301,3.389703032152802e-09,useless,0.031701244,1.8855614153379108e-09,0.022863198,9.333662683019828e-09,western,0.0010902472,4.3037154257019594e-09,0.009557638,1.1538027269719642e-08,expectant,0.02293545,6.654553130758245e-09,0.021941178,4.281688753549062e-09,accursed,0.048468005,5.4096758392296884e-09,0.021974072,5.833425603674058e-09,viennese,NaN,NaN,NaN,NaN
restful,0.033376835,4.49410978917153e-09,0.0010334793,3.377138715378314e-09,sinister,0.044031426,5.208662598454872e-09,0.0040854104,5.21507614176242e-09,medieval,0.0070494283,1.5427284449920364e-09,0.003895294,1.382268535743414e-09,agreeable,0.013098517,1.646609324845033e-08,0.0073260926,6.341601802928656e-09,malevolent,0.014611691,6.406364383426677e-09,0.003640607,9.01505647910028e-09,andalusian,NaN,NaN,NaN,NaN
great,0.04819887,1.4403054082734457e-08,0.0055264384,9.959057883923705e-09,insane,0.035798937,4.188442717656393e-09,0.009155758,7.46587081046357e-09,lancastrian,NaN,NaN,NaN,NaN,modest,0.04046277,5.674891695450768e-09,0.0032194033,9.348655044538745e-10,naked,0.016147252,3.0825685788660184e-09,0.019189823,9.82698999171111e-09,belgian,NaN,NaN,NaN,NaN
perfect,0.06015019,7.367193667617844e-09,0.04860431,9.730048683431747e-09,villainous,0.036439568,1.0094456409648345e-08,0.0151397735,8.384538327521618e-09,nominal,0.000500449,7.346154372311897e-09,0.056325972,9.368699357970023e-10,popular,0.052143995,1.6434496125095066e-11,0.0074919052,2.8716838195580463e-10,archaic,0.08099051,1.0257450444584038e-09,0.034553185,2.4686934024797935e-08,employed,0.07065246,1.2805694976636417e-09,0.008534998,1.1973344371529748e-08
wise,0.079882205,6.749369382830217e-09,0.001639843,1.2865242315918124e-08,upset,0.00799989,1.0550886303528628e-08,0.021189824,1.2412630090441468e-09,early,0.046996646,8.296277373420757e-09,0.0078089535,5.2870135353044745e-09,sophisticated,0.0065786354,6.200626470609372e-11,0.012763737,1.7104390792610502e-08,foul,0.010664404,3.376624153894614e-09,0.012033857,5.253168296193156e-09,neapolitan,NaN,NaN,NaN,NaN
beneficent,0.010350063,8.843487789289561e-09,0.0013910905,5.436125743996101e-09,doubtful,0.006426364,1.932700288698186e-08,0.0015498549,1.014691991541028e-08,tribal,0.022603855,9.47906574066959e-09,0.031374186,4.1389326688179295e-10,dainty,0.08791875,2.4459426872791568e-08,0.052365303,1.0213718620866175e-09,nagging,0.03275624,1.1233239234631487e-08,0.04998389,1.1151355255867301e-08,future,0.008602396,1.182701844792966e-08,0.008254692,1.3080176358704065e-08
compassionate,0.07093106,1.0810460970844815e-08,0.046998933,5.512196948886938e-09,ominous,0.005702533,4.922020430120355e-10,0.002975054,1.0410320935155815e-08,chief,0.17392403,1.5377400935934205e-08,0.054328516,5.182333118192162e-09,blonde,0.12355488,8.156009922988261e-09,0.037450515,5.779450864065727e-09,childless,0.027453467,3.917903949185453e-09,0.008974319,2.8244895929063762e-08,dainty,0.08791875,2.4459426872791568e-08,0.052365303,1.0213718620866175e-09
irresistible,0.014252409,6.343910952111287e-09,0.007987767,2.140138247175294e-09,contemptible,0.019932494,2.005078075795197e-09,0.006782024,1.1243541174488225e-08,turkish,NaN,NaN,NaN,NaN,blond,0.04626605,4.995265999452325e-09,0.0006124892,6.894853146754976e-09,troubled,0.070561625,5.3938776500839225e-09,0.00022549182,7.831269507874161e-09,motherly,0.17702763,2.382231797243284e-09,0.037601642,1.976273126727936e-09
merciful,0.013593383,8.615364213704346e-09,0.002949506,5.493444449333751e-09,degrading,0.0066358447,1.8179711624988215e-09,0.009849384,1.1239654443273572e-08,backed,0.057022326,5.560788662872795e-09,0.016188309,1.0852776163861044e-08,privileged,0.003718438,1.6218091748038121e-09,0.010003336,9.961405131320156e-09,suffering,0.03937161,1.5122362473363182e-08,0.012285575,8.982649235544926e-09,matriarchal,0.055701867,3.753885702284521e-09,0.011258304,1.553805512033435e-08
suave,0.009474579,8.51414601321654e-09,0.0178468,4.7479741527300945e-09,unsupported,0.040394843,1.3959313566180853e-08,0.03258145,1.891284157062856e-09,papal,0.0057652406,1.1517351933276743e-09,0.02707981,2.213146395313448e-09,superb,0.019030526,3.1020619128963034e-09,0.005179487,3.3424177037222336e-09,shrewish,0.024410374,4.029015371331823e-09,0.0031480948,2.3567970769411417e-09,japanese,NaN,NaN,NaN,NaN
meritorious,0.054874424,6.604590374603703e-09,0.023208823,7.188782086969825e-09,lousy,0.036556795,9.27530596772641e-09,0.0052726045,1.1294808494738406e-08,future,0.008602396,1.182701844792966e-08,0.008254692,1.3080176358704065e-08,experienced,0.008803047,5.4178448533059864e-09,0.0040955767,6.599924495809262e-10,withered,0.06934684,2.7207329722500617e-09,0.026279557,3.528911038386262e-09,emotional,0.014901057,7.749762109821035e-09,0.0032001138,8.167055809416013e-09
clear,0.014751792,8.773576934406613e-09,0.002227351,6.2807326145497555e-09,dejected,0.04423392,1.0010953455097393e-08,0.0017983019,2.647201582939296e-09,personal,0.022294283,4.627931038392319e-09,0.0020549595,1.2198380416883481e-08,precious,0.0031523705,2.378300671679323e-08,0.02351677,1.5289453800249042e-09,pernicious,0.041075308,5.1415245255759245e-09,0.014956881,9.162833936505901e-09,fictional,0.008510532,1.0101975794069018e-08,0.020743791,4.994761680643389e-09
peaceable,0.004592322,1.2825133788307852e-08,0.013382807,6.910174696339588e-09,allergic,NaN,NaN,NaN,NaN,cappadocian,NaN,NaN,NaN,NaN,pious,0.050328948,2.5997416996936806e-09,0.014980316,4.089498573112138e-09,buxom,0.034947716,9.263123375985449e-10,0.0345704,3.590293852148707e-09,lunar,0.001462956,6.582898056523012e-09,0.039466992,2.3413349592438237e-09
like,0.02272639,3.3903746268770796e-09,0.0076499134,2.2556027740039397e-09,punishable,0.005406419,3.327102371386559e-09,0.0003687814,7.773139978906052e-10,armed,0.18765071,3.6570065795049622e-09,0.009862915,1.7557933770090406e-09,mature,0.04644492,1.4411569236594257e-08,0.015357809,3.5809625369143117e-09,unpromising,0.022821635,6.472480559979385e-09,0.01126723,3.270870282956473e-09,gestational,NaN,NaN,NaN,NaN
thankful,0.045048736,5.1213348006839965e-09,0.0041081905,3.957720845493284e-09,stricken,0.031455204,1.8507170726489441e-09,0.015359913,7.457186393562687e-09,ancestral,0.05414137,1.3029272341591458e-08,0.0183753,2.1672143968309854e-08,happy,0.123275205,7.442559547821137e-09,0.012668822,2.0346487661360158e-08,fictional,0.008510532,1.0101975794069018e-08,0.020743791,4.994761680643389e-09,operatic,0.016395405,2.0271178624575725e-09,0.017581925,1.5744584941357331e-09
positive,0.014359094,2.6571555095111776e-09,0.007165335,1.238566443850786e-08,threatening,0.0043785935,2.479250112499831e-09,0.014677919,6.855217088430621e-09,uterine,0.013843268,1.6282643428011667e-09,0.018651783,3.8447207223457625e-09,motherly,0.17702763,2.382231797243284e-09,0.037601642,1.976273126727936e-09,sober,0.067111924,4.099468830370823e-09,0.0017588157,7.01868106689485e-09,ephesian,NaN,NaN,NaN,NaN
paramount,0.041897222,2.8079483365209268e-09,0.018622175,1.620573107652401e-08,fascist,NaN,NaN,NaN,NaN,regimental,0.13730459,2.5844305862054995e-09,0.03458135,8.42420909419328e-09,novel,0.036147594,1.2209313920985565e-08,0.026840165,2.4988599939268497e-09,malicious,0.03101626,4.110867923845518e-09,9.49502e-05,1.0384209631064678e-08,portuguese,NaN,NaN,NaN,NaN
special,0.021259984,2.5597663988463637e-09,0.0047301413,1.5840571128238057e-08,ruined,0.07296075,4.7716190720858975e-09,0.015256107,1.4027134592753399e-09,weaponless,0.014158353,6.07313516143293e-09,0.033545256,2.172632517644102e-08,ample,0.0038863271,1.8113115216045195e-08,0.013472531,2.9778236924904444e-09,young,0.0106557235,1.8470425744432362e-09,0.013889968,1.547980227334378e-08,weird,0.06695044,4.681105501488925e-09,0.004184015,1.4611156062827035e-08
polite,0.0028991252,4.876738360359845e-09,0.003944503,1.3497226131892193e-09,cynical,0.026300892,1.8976783477953063e-09,0.036308292,1.6485012938050048e-09,unsung,0.024755545,4.3264850035917846e-11,0.0003567636,8.221393926755027e-09,chic,0.03326019,5.6669941343734376e-09,0.014564235,1.0374156651782318e-08,forlorn,0.100804575,2.4577042241624714e-09,0.0036413623,3.082759453959527e-09,semitic,NaN,NaN,NaN,NaN
efficient,0.0023383014,4.626982828132009e-09,0.000836581,2.4776377199886568e-09,desperate,0.087198205,9.058998912125915e-09,0.0055069327,1.2373989138891872e-08,technical,0.04820624,1.645595762433949e-08,0.024808265,1.2107723983134644e-08,good,0.01280199,5.886112777742092e-09,0.025372013,1.0466072286607897e-08,beautiful,0.22908036,3.4580174640419514e-08,0.07020965,3.7211311167822947e-09,unmarried,0.042958803,4.147782825536517e-09,0.0068488,1.275625303304162e-08
ideal,0.011323888,4.59693307031106e-09,0.012530163,5.7606253517361594e-09,rude,0.022626694,5.867026676986686e-09,0.0039353855,1.8559009606899934e-09,sororal,NaN,NaN,NaN,NaN,pleasing,0.08428417,6.749798248106842e-09,0.01458529,2.626774499303597e-09,unreasonable,0.05264467,1.2771188634408404e-08,0.015016653,2.454465963808161e-09,canadian,NaN,NaN,NaN,NaN
picturesque,0.0458564,9.032961184596289e-09,0.010223307,2.783739079526004e-09,perverse,0.017635018,1.9678017441210338e-08,0.011394095,5.076350223856552e-09,sinhalese,NaN,NaN,NaN,NaN,lovable,0.07595611,3.2260175121534562e-09,0.00062358263,1.7105819538620892e-10,fat,0.097342506,9.936171243424274e-09,0.038367055,8.765092540663488e-10,highborn,0.004682593,6.594965271805586e-09,0.015348829,1.263150826991133e-09
charitable,0.023057334,7.2990594679467335e-09,0.010744881,1.3631821550036394e-08,sluggish,0.015845116,8.111050095460648e-09,0.017568786,1.1665765659030214e-08,allied,0.016453842,5.7233936132106145e-09,0.016580902,1.0349162166134462e-08,cheerful,0.08196499,1.3653767241827985e-08,0.02639509,2.1654878654131515e-09,wicked,0.011346638,3.062705984657743e-09,0.004620184,8.499007597711659e-09,gothic,0.029128011,9.069613116086117e-12,0.0061956607,1.1304100017150986e-09
sumptuous,0.02720239,2.0960458882446353e-08,0.003498794,2.2312743699123144e-09,alarmed,0.033045217,5.255657034575201e-09,0.015588393,4.397009647008621e-09,municipal,0.024233855,9.811004321458316e-09,0.0009956211,1.6333603219953474e-09,eligible,0.041111276,5.067715006315532e-09,0.01842478,1.0196305744170076e-09,destitute,0.0628812,4.2633452445456355e-09,0.02472047,8.55360117457682e-09,ethiopian,NaN,NaN,NaN,NaN
sensational,0.007342756,1.404636540414117e-08,0.01198705,2.544498570178355e-10,ruinous,0.009501681,1.7119852480096398e-08,0.033411853,5.093493127272808e-10,italian,NaN,NaN,NaN,NaN,fine,0.023187354,2.727013309611337e-09,0.01342519,7.67318576733178e-10,damned,0.10085794,2.067995949484036e-08,0.017761126,3.0379953552817085e-09,german,0.023064349,1.9254801086887596e-09,0.017585874,7.209394747853537e-10
resourceful,0.06247007,1.9308510443294402e-08,0.03646615,7.792100464865115e-09,heartless,0.0363157,7.413318514615241e-09,0.0012588911,1.2440435057103905e-08,muscovite,NaN,NaN,NaN,NaN,virginal,0.14831957,6.924527617968579e-10,0.04557325,4.92789339889832e-09,worried,0.05747885,7.122766682021719e-10,0.002135843,2.4859308223046384e-09,turkish,NaN,NaN,NaN,NaN
reliable,0.022960052,1.0081707829678876e-08,0.008306459,1.5361947422465327e-08,fearful,0.03532408,5.274220504780658e-09,0.011207432,1.1385074688563535e-09,protestant,0.010953739,1.234712664055504e-08,0.012313008,1.1097449650193658e-08,winsome,0.0873942,4.0376998862445834e-09,0.027414039,2.371503209086523e-09,wearisome,0.019049507,1.5592663070440604e-08,0.022635274,1.7738290558622083e-09,unmated,0.039763827,1.5864309310664737e-09,0.0326335,1.4727255526203464e-10
